id,title,handle,url,productType,minPrice,maxPrice,inStock,colors,variantCount,tags,primaryImage
7806045585478,Bass Backpack - 22L,the-bass-backpack,https://mokobara.com/products/the-bass-backpack,Backpacks,7999,7999,true,Black Tie | Homebrew Sunray,2,30DAY | MOKO_PIN | POSX | WARRANTY,https://cdn.shopify.com/s/files/1/0068/7341/5750/files/The-Bass-Backpack_Black-Tie-1.jpg?v=1773040852
8476946006086,Transit Autopilot Backpack,transit-autopilot-backpack,https://mokobara.com/products/transit-autopilot-backpack,Backpacks,5799,5799,true,Money Moves Sunray | Headspace | Homegrown,3,30DAY | POSX | TAGGIT_PIN | WARRANTY,https://cdn.shopify.com/s/files/1/0068/7341/5750/files/Transit-Autopilot-Backpack_MMS-1.jpg?v=1786367947
8494854012998,Moko Taggit,moko-taggit,https://mokobara.com/products/moko-taggit,Travel Accessories,899,899,true,Money Moves,1,,https://cdn.shopify.com/s/files/1/0068/7341/5750/files/Moko-Taggit_1.jpg?v=1785757361
8471925358662,Transit Z Backpack,transit-z-backpack,https://mokobara.com/products/transit-z-backpack,Backpacks,6499,6499,true,Money Moves Sunray | Headspace | Off The Grid,3,30DAY | POSX | TAGGIT_PIN | WARRANTY,https://cdn.shopify.com/s/files/1/0068/7341/5750/files/Transit-Z-Backpack-MMS-1_36e201af-6b54-4857-8c12-ebce675f7f66.jpg?v=1785909004
7635622756422,Em Access Trunk-Large,the-em-access-trunk,https://mokobara.com/products/the-em-access-trunk,Luggage,9999,9999,true,Seize The Grey | We Meet Again Sunray | Green Energy Sunray | Shy Blue | Excuse Me,5,30DAY | C+Z | POSX | WARRANTY,https://cdn.shopify.com/s/files/1/0068/7341/5750/files/The-Em-Access-Trunk_GES-2.jpg?v=1769156313
7635564265542,Em Access Trunk-Check In,the-em-access-check-in,https://mokobara.com/products/the-em-access-check-in,Luggage,8999,8999,true,We Meet Again Sunray | Green Energy Sunray | Seize The Grey | Shy Blue | Excuse Me,5,30DAY | C+Z | POSX | WARRANTY,https://cdn.shopify.com/s/files/1/0068/7341/5750/files/The-Em-Access-Trunk-Check-In_Excuse-me-2_db0509e6-4c47-4df3-a2ed-d34247f70ebf.jpg?v=1773040048
7635562233926,Em Cabin Pro,the-em-cabin-pro,https://mokobara.com/products/the-em-cabin-pro,Luggage,7999,7999,true,Green Energy Sunray | We Meet Again Sunray | Seize The Grey | Shy Blue | Excuse Me,5,30DAY | C+Z | POSX | WARRANTY,https://cdn.shopify.com/s/files/1/0068/7341/5750/files/The-Em-Cabin-Pro_GES-1.jpg?v=1774246540
7583439519814,Moko Blocks (7-12 years),the-moko-blocks-7-12-years,https://mokobara.com/products/the-moko-blocks-7-12-years,Kids Luggage,5999,5999,true,Sunshine | Cotton Candy | Paintball,3,30DAY | Block_Engraving | C+Z | popin | POSX | WARRANTY,https://cdn.shopify.com/s/files/1/0068/7341/5750/files/The-Moko-Teens-Yellow.jpg?v=1723634098
8268753010758,Moko Tracker,moko-tracker,https://mokobara.com/products/moko-tracker,Travel Accessories,2499,2499,false,Money  Moves,1,NO_RETURN | POSX | WARRANTY,https://cdn.shopify.com/s/files/1/0068/7341/5750/files/Moko-Tracker_LP.jpg?v=1775803617
4871933231174,Moko Mini,moko-mini-bags-online,https://mokobara.com/products/moko-mini-bags-online,Travel Accessories,2799,2799,true,Cosmic Vibes | Sunnyside Yellow | Money Moves | Seaweed Green | Wild Flower | Reflection Day | Space Blue | New Standard | Million Dollar | After Hours | Reflection Eve | Summer,12,30DAY | badge_LAST FEW | POSX | WARRANTY,https://cdn.shopify.com/s/files/1/0068/7341/5750/files/Moko-mini-Yellow-1_09cc7573-8a7d-4bcc-ac13-c084977532a4.jpg?v=1776410216
7651144859718,Cabin Overnighter Luggage,the-cabin-overnighter-luggage,https://mokobara.com/products/the-cabin-overnighter-luggage,Luggage,11999,11999,true,Seaweed Green | Still Loading Brownray | Money Moves Sunray | Shy Pink 3.0,4,30DAY | C+Z | POSX | WARRANTY,https://cdn.shopify.com/s/files/1/0068/7341/5750/files/The-Overnighter-Luggage_2.0_SLB-1_9f905c8f-723f-4a4e-ba4b-268f0f3927c8.jpg?v=1784204242
7785708191814,Iconic Luggage Cover,the-iconic-luggage-cover,https://mokobara.com/products/the-iconic-luggage-cover,Luggage Covers,1999,2999,true,Cabin | Check-in | Check-in Large,3,NO_RETURN | POSX | WARRANTY,https://cdn.shopify.com/s/files/1/0068/7341/5750/files/The-Iconic-Luggage-Cover_Cabin-1_9ffbb354-ba92-4e1b-b0a4-b6d9f0060839.jpg?v=1769075429
